Respondent_ID,Expected_Salary,Overseas_Work,Years_to_Repay_Debt,Start_Up,Preferred_Industry,Remote_Work,Fortune_500
41,55000,No,4,FALSE,Healthcare,Yes,FALSE
42,50000,No,3,FALSE,Education,Yes,TRUE
43,110000,No,6,FALSE,Education,Yes,TRUE
44,85000,No,5,TRUE,Manufacturing,No,FALSE
45,80000,No,5,FALSE,Education,No,FALSE
46,65000,No,5,FALSE,Education,No,FALSE
47,70000,No,5,FALSE,Finance,Yes,FALSE
48,45000,No,3,TRUE,Manufacturing,No,FALSE
49,85000,No,7,FALSE,Tech,Yes,FALSE
50,85000,No,7,TRUE,Healthcare,No,FALSE
51,70000,Yes,4,FALSE,Education,Yes,TRUE
52,70000,No,7,FALSE,Healthcare,No,TRUE
53,75000,No,4,FALSE,Tech,Yes,TRUE
54,70000,No,5,TRUE,Healthcare,No,FALSE
55,65000,Yes,3,FALSE,Tech,No,TRUE
56,90000,Yes,5,FALSE,Finance,Yes,FALSE
57,65000,No,5,FALSE,Education,Yes,FALSE
58,80000,No,7,FALSE,Tech,No,FALSE
59,50000,Yes,4,TRUE,Healthcare,Yes,TRUE
60,70000,No,6,FALSE,Education,No,TRUE
61,65000,No,4,FALSE,Finance,Yes,TRUE
62,90000,No,4,FALSE,Education,Yes,TRUE
63,70000,Yes,6,TRUE,Tech,Yes,TRUE
64,80000,Yes,6,FALSE,Finance,Yes,FALSE
65,60000,No,4,FALSE,Healthcare,No,FALSE
66,80000,Yes,7,FALSE,Finance,Yes,FALSE
67,65000,No,5,TRUE,Finance,Yes,FALSE
68,80000,No,6,FALSE,Manufacturing,Yes,TRUE
69,75000,No,5,TRUE,Finance,Yes,FALSE
70,70000,No,7,FALSE,Finance,No,FALSE
71,55000,No,7,TRUE,Education,No,TRUE
72,95000,Yes,7,FALSE,Healthcare,Yes,FALSE
73,95000,No,7,FALSE,Education,No,TRUE
74,80000,No,7,FALSE,Education,No,FALSE
75,80000,No,7,TRUE,Tech,Yes,FALSE
76,95000,Yes,7,FALSE,Education,No,TRUE
77,80000,Yes,5,FALSE,Manufacturing,Yes,FALSE
78,85000,No,5,FALSE,Manufacturing,Yes,FALSE
79,50000,No,3,FALSE,Tech,No,FALSE
80,85000,No,5,TRUE,Healthcare,Yes,TRUE
81,55000,No,3,FALSE,Healthcare,No,FALSE
82,75000,Yes,5,TRUE,Education,No,TRUE
83,80000,Yes,6,FALSE,Education,Yes,TRUE
84,75000,No,5,TRUE,Education,No,TRUE
85,50000,No,3,FALSE,Healthcare,Yes,FALSE
86,50000,Yes,3,FALSE,Finance,Yes,FALSE
87,70000,No,7,FALSE,Manufacturing,No,FALSE
88,70000,No,6,FALSE,Finance,No,FALSE
89,105000,No,5,FALSE,Finance,Yes,TRUE
90,100000,No,7,FALSE,Healthcare,Yes,TRUE
91,90000,No,6,TRUE,Finance,No,TRUE
92,65000,Yes,5,FALSE,Tech,No,TRUE
93,80000,No,7,TRUE,Education,No,TRUE
94,75000,Yes,7,FALSE,Tech,Yes,TRUE
95,80000,No,7,FALSE,Manufacturing,Yes,TRUE
96,80000,No,7,FALSE,Education,Yes,TRUE
97,90000,No,7,TRUE,Finance,No,TRUE
98,85000,No,5,FALSE,Manufacturing,Yes,TRUE
99,95000,No,7,FALSE,Education,Yes,FALSE
100,90000,Yes,6,FALSE,Finance,No,FALSE
101,75000,No,3,FALSE,Tech,Yes,FALSE
102,70000,No,7,FALSE,Education,No,TRUE
103,90000,No,7,TRUE,Finance,No,TRUE
104,85000,No,5,FALSE,Tech,No,FALSE
105,80000,Yes,7,FALSE,Manufacturing,Yes,TRUE
106,95000,No,7,TRUE,Manufacturing,Yes,TRUE
107,80000,Yes,7,TRUE,Manufacturing,No,TRUE
108,70000,No,5,TRUE,Manufacturing,No,TRUE
109,75000,No,7,FALSE,Healthcare,No,TRUE
110,60000,No,4,FALSE,Education,Yes,TRUE
111,90000,No,5,TRUE,Education,No,FALSE
112,60000,No,3,FALSE,Healthcare,No,TRUE
113,80000,No,5,TRUE,Finance,No,TRUE
114,70000,No,7,FALSE,Finance,No,FALSE
115,45000,No,3,TRUE,Manufacturing,No,TRUE
116,90000,No,5,FALSE,Tech,No,TRUE
117,70000,No,6,FALSE,Finance,Yes,FALSE
118,85000,No,7,FALSE,Tech,Yes,TRUE
119,85000,No,5,FALSE,Education,Yes,TRUE
120,95000,No,6,FALSE,Tech,Yes,TRUE
121,80000,No,5,FALSE,Education,Yes,TRUE
122,80000,Yes,7,TRUE,Healthcare,Yes,FALSE
123,80000,No,7,TRUE,Healthcare,Yes,FALSE
124,65000,No,3,FALSE,Manufacturing,Yes,TRUE
125,70000,No,6,TRUE,Finance,No,FALSE
126,65000,No,5,TRUE,Manufacturing,No,FALSE
127,100000,No,7,FALSE,Education,Yes,TRUE
128,90000,Yes,7,FALSE,Manufacturing,No,FALSE
129,70000,No,4,FALSE,Tech,Yes,TRUE
130,80000,Yes,5,TRUE,Education,Yes,TRUE
131,60000,No,5,TRUE,Healthcare,Yes,TRUE
132,90000,No,7,FALSE,Finance,Yes,TRUE
133,100000,No,6,TRUE,Education,No,TRUE
134,70000,Yes,6,TRUE,Education,No,FALSE
135,50000,No,3,FALSE,Tech,Yes,TRUE
136,100000,No,7,FALSE,Finance,Yes,TRUE
137,75000,No,6,FALSE,Healthcare,Yes,TRUE
138,75000,Yes,7,TRUE,Education,Yes,FALSE
139,55000,Yes,3,TRUE,Education,Yes,FALSE
140,80000,No,6,FALSE,Tech,Yes,FALSE
141,65000,No,5,TRUE,Manufacturing,No,FALSE
142,90000,No,7,FALSE,Healthcare,No,FALSE
143,90000,No,5,FALSE,Finance,Yes,TRUE
144,75000,No,5,FALSE,Education,No,FALSE
145,70000,No,5,FALSE,Education,Yes,FALSE
146,50000,No,3,TRUE,Healthcare,Yes,FALSE
147,55000,No,3,FALSE,Manufacturing,Yes,FALSE
148,60000,No,3,FALSE,Education,No,TRUE
149,85000,No,7,FALSE,Healthcare,No,TRUE
150,70000,No,5,TRUE,Tech,No,TRUE
151,40000,No,3,TRUE,Manufacturing,Yes,FALSE
152,55000,Yes,4,FALSE,Finance,No,TRUE
153,85000,No,6,FALSE,Education,Yes,TRUE
154,40000,Yes,3,FALSE,Healthcare,No,FALSE
155,90000,No,7,TRUE,Tech,Yes,TRUE
156,85000,No,7,FALSE,Finance,Yes,FALSE
157,70000,Yes,4,FALSE,Healthcare,Yes,TRUE
158,80000,Yes,7,FALSE,Healthcare,No,TRUE
159,100000,Yes,7,FALSE,Finance,Yes,TRUE
160,75000,No,5,TRUE,Tech,No,FALSE
161,65000,No,4,FALSE,Tech,Yes,TRUE
162,75000,Yes,6,TRUE,Manufacturing,No,TRUE
163,75000,No,5,FALSE,Education,No,FALSE
164,80000,No,5,FALSE,Finance,No,TRUE
165,85000,No,7,FALSE,Finance,Yes,FALSE
166,65000,No,6,FALSE,Finance,Yes,FALSE
167,80000,No,4,TRUE,Tech,Yes,TRUE
168,75000,No,4,FALSE,Education,No,FALSE
169,60000,Yes,4,FALSE,Manufacturing,Yes,TRUE
170,70000,Yes,7,TRUE,Healthcare,Yes,FALSE
171,80000,No,5,TRUE,Healthcare,Yes,TRUE
172,90000,Yes,7,FALSE,Finance,Yes,FALSE
173,65000,No,4,TRUE,Education,No,TRUE
174,60000,No,5,FALSE,Tech,Yes,FALSE
175,85000,No,5,FALSE,Education,No,TRUE
176,95000,Yes,7,FALSE,Education,Yes,TRUE
177,55000,No,3,TRUE,Tech,Yes,TRUE
178,65000,No,3,FALSE,Finance,Yes,TRUE
179,95000,No,7,FALSE,Education,Yes,FALSE
180,65000,Yes,3,TRUE,Healthcare,Yes,TRUE
181,70000,No,6,FALSE,Tech,No,FALSE
182,65000,No,4,FALSE,Manufacturing,Yes,FALSE
183,75000,No,7,FALSE,Finance,No,FALSE
184,60000,No,3,TRUE,Tech,Yes,TRUE
185,95000,Yes,7,FALSE,Manufacturing,Yes,TRUE
186,75000,Yes,6,TRUE,Manufacturing,No,FALSE
187,95000,No,7,TRUE,Education,Yes,TRUE
188,60000,No,4,FALSE,Education,Yes,TRUE
189,40000,No,3,FALSE,Education,Yes,FALSE
190,75000,No,7,TRUE,Tech,Yes,FALSE
191,50000,Yes,3,TRUE,Tech,No,FALSE
192,75000,No,3,TRUE,Finance,Yes,TRUE
193,85000,No,7,TRUE,Education,No,FALSE
194,45000,No,3,TRUE,Manufacturing,No,TRUE
195,85000,No,4,TRUE,Healthcare,Yes,TRUE
196,80000,No,7,FALSE,Finance,No,FALSE
197,105000,No,7,FALSE,Tech,Yes,TRUE
198,75000,No,5,FALSE,Finance,No,TRUE
199,100000,No,7,FALSE,Finance,Yes,TRUE
200,55000,No,4,TRUE,Finance,No,FALSE
201,70000,No,3,FALSE,Finance,Yes,FALSE
202,85000,Yes,5,FALSE,Healthcare,Yes,FALSE
203,60000,No,3,FALSE,Education,No,FALSE
204,85000,Yes,6,FALSE,Manufacturing,No,TRUE
205,70000,No,5,FALSE,Finance,Yes,TRUE
206,95000,No,7,FALSE,Finance,Yes,TRUE
207,80000,No,5,TRUE,Finance,No,TRUE
208,75000,Yes,5,FALSE,Education,No,TRUE
209,90000,No,7,FALSE,Tech,No,FALSE
210,100000,No,7,FALSE,Tech,No,TRUE
211,50000,No,3,FALSE,Healthcare,No,TRUE
212,45000,No,3,TRUE,Tech,No,TRUE
213,90000,No,6,FALSE,Finance,Yes,TRUE
214,60000,Yes,4,FALSE,Finance,Yes,FALSE
215,50000,Yes,3,FALSE,Finance,No,TRUE
216,100000,No,7,FALSE,Healthcare,No,TRUE
217,75000,No,5,TRUE,Finance,Yes,FALSE
218,95000,No,6,FALSE,Tech,Yes,TRUE
219,65000,Yes,4,FALSE,Education,No,TRUE
220,50000,No,3,FALSE,Education,Yes,TRUE
221,55000,No,4,FALSE,Manufacturing,Yes,FALSE
222,30000,No,3,FALSE,Tech,Yes,FALSE
223,90000,Yes,7,FALSE,Finance,Yes,FALSE
224,80000,Yes,5,TRUE,Education,Yes,TRUE
225,110000,No,6,FALSE,Tech,Yes,FALSE
226,110000,No,6,FALSE,Education,Yes,TRUE
227,85000,No,6,FALSE,Finance,No,TRUE
228,80000,Yes,7,FALSE,Education,Yes,TRUE
229,95000,No,7,FALSE,Manufacturing,No,TRUE
230,95000,No,6,TRUE,Manufacturing,No,FALSE
231,60000,No,7,FALSE,Education,Yes,FALSE
232,50000,No,5,TRUE,Tech,No,FALSE
233,65000,No,5,FALSE,Tech,Yes,FALSE
234,75000,Yes,5,TRUE,Tech,No,FALSE
235,80000,No,5,FALSE,Education,Yes,TRUE
236,90000,No,5,FALSE,Tech,No,TRUE
237,60000,No,7,TRUE,Finance,No,FALSE
238,65000,No,6,FALSE,Manufacturing,Yes,TRUE
239,65000,Yes,3,FALSE,Finance,Yes,FALSE
240,65000,Yes,5,TRUE,Tech,No,TRUE
241,60000,No,6,FALSE,Finance,No,TRUE
242,70000,Yes,3,FALSE,Tech,Yes,TRUE
243,85000,Yes,5,FALSE,Education,No,TRUE
244,90000,No,6,TRUE,Finance,Yes,TRUE
245,45000,No,3,TRUE,Education,No,FALSE
246,80000,No,7,TRUE,Education,Yes,TRUE
247,75000,No,6,TRUE,Healthcare,No,FALSE
248,70000,No,6,TRUE,Tech,Yes,TRUE
249,85000,No,6,FALSE,Manufacturing,Yes,TRUE
250,70000,No,3,FALSE,Tech,Yes,TRUE
251,80000,No,7,FALSE,Manufacturing,Yes,FALSE
252,95000,No,7,FALSE,Tech,Yes,TRUE
253,60000,No,5,TRUE,Education,Yes,FALSE
254,80000,No,6,TRUE,Finance,No,TRUE
255,60000,No,5,FALSE,Finance,Yes,FALSE
256,60000,No,3,TRUE,Healthcare,Yes,TRUE
257,70000,Yes,4,FALSE,Manufacturing,Yes,FALSE
258,65000,No,7,FALSE,Manufacturing,Yes,FALSE
259,70000,Yes,5,FALSE,Manufacturing,Yes,FALSE
260,60000,No,3,FALSE,Education,Yes,TRUE
261,105000,No,7,FALSE,Manufacturing,Yes,TRUE
262,90000,No,7,FALSE,Finance,Yes,TRUE
263,75000,No,6,FALSE,Education,Yes,FALSE
264,70000,No,6,FALSE,Tech,Yes,FALSE
265,60000,No,4,FALSE,Manufacturing,Yes,FALSE
266,105000,No,6,FALSE,Manufacturing,Yes,TRUE
267,80000,No,5,FALSE,Tech,No,TRUE
268,80000,Yes,5,FALSE,Manufacturing,Yes,TRUE
269,55000,Yes,4,FALSE,Tech,No,FALSE
271,65000,No,7,TRUE,Finance,No,FALSE
272,85000,No,5,FALSE,Tech,No,TRUE
273,75000,No,5,FALSE,Healthcare,Yes,FALSE
274,75000,Yes,5,FALSE,Tech,No,FALSE
275,80000,Yes,6,TRUE,Manufacturing,Yes,TRUE
276,90000,No,5,FALSE,Education,Yes,FALSE
277,90000,Yes,7,FALSE,Education,No,FALSE
278,70000,No,7,FALSE,Tech,No,FALSE
279,95000,No,7,FALSE,Finance,Yes,FALSE
280,85000,No,7,FALSE,Healthcare,Yes,TRUE
281,75000,Yes,5,FALSE,Education,Yes,TRUE
282,65000,Yes,4,FALSE,Manufacturing,Yes,FALSE
283,60000,Yes,7,TRUE,Manufacturing,No,TRUE
285,55000,No,7,TRUE,Education,Yes,FALSE
287,55000,No,6,TRUE,Manufacturing,Yes,FALSE
288,85000,No,6,TRUE,Finance,Yes,TRUE
289,80000,Yes,6,TRUE,Education,No,TRUE
290,70000,No,5,TRUE,Education,No,TRUE
291,75000,No,6,FALSE,Education,No,TRUE
293,90000,No,7,FALSE,Education,No,TRUE
294,65000,No,7,TRUE,Manufacturing,No,FALSE
295,75000,No,7,TRUE,Finance,No,FALSE
296,70000,No,5,TRUE,Education,Yes,TRUE
297,90000,No,7,TRUE,Healthcare,Yes,TRUE
299,90000,No,7,TRUE,Finance,Yes,TRUE
300,80000,No,5,FALSE,Tech,Yes,TRUE
301,90000,No,7,TRUE,Tech,Yes,TRUE
302,75000,Yes,6,TRUE,Tech,Yes,FALSE
304,80000,No,7,FALSE,Tech,Yes,FALSE
305,80000,No,7,TRUE,Manufacturing,Yes,TRUE
306,80000,No,6,TRUE,Education,No,FALSE
307,70000,Yes,5,FALSE,Healthcare,No,TRUE
308,65000,No,7,TRUE,Finance,No,TRUE
309,55000,Yes,4,TRUE,Finance,No,FALSE
310,65000,No,7,FALSE,Education,Yes,FALSE
311,60000,No,4,FALSE,Healthcare,No,FALSE
313,70000,No,5,FALSE,Tech,Yes,FALSE
316,60000,No,4,FALSE,Tech,Yes,TRUE
318,90000,No,7,TRUE,Finance,No,TRUE
320,90000,Yes,7,FALSE,Education,Yes,TRUE
321,70000,No,5,FALSE,Tech,No,TRUE
322,85000,No,6,FALSE,Manufacturing,No,FALSE
323,65000,No,5,FALSE,Manufacturing,Yes,FALSE
324,55000,Yes,7,TRUE,Tech,No,FALSE
325,85000,No,7,FALSE,Tech,Yes,TRUE
326,70000,No,7,TRUE,Finance,Yes,FALSE
329,80000,No,5,FALSE,Tech,Yes,TRUE
330,75000,No,5,TRUE,Healthcare,No,TRUE
331,85000,No,6,FALSE,Manufacturing,No,TRUE
332,90000,No,6,FALSE,Manufacturing,Yes,FALSE
333,70000,Yes,5,TRUE,Tech,Yes,TRUE
335,65000,No,7,FALSE,Finance,No,FALSE
336,80000,No,5,TRUE,Tech,Yes,TRUE
337,105000,No,7,FALSE,Tech,Yes,TRUE
339,70000,No,5,FALSE,Tech,Yes,FALSE
340,75000,Yes,5,FALSE,Tech,Yes,TRUE
342,65000,No,5,FALSE,Manufacturing,No,TRUE
344,70000,No,7,TRUE,Finance,Yes,FALSE
348,70000,No,5,FALSE,Finance,Yes,FALSE
349,65000,No,5,FALSE,Finance,Yes,FALSE
351,85000,Yes,5,FALSE,Manufacturing,Yes,FALSE
352,70000,No,6,FALSE,Tech,Yes,FALSE
353,105000,Yes,6,FALSE,Education,Yes,TRUE
354,80000,No,5,TRUE,Finance,No,TRUE
355,90000,Yes,5,FALSE,Education,No,TRUE
357,75000,No,7,FALSE,Manufacturing,No,FALSE
358,60000,No,5,TRUE,Manufacturing,Yes,TRUE
359,75000,No,6,FALSE,Education,No,FALSE
361,90000,No,5,FALSE,Tech,No,TRUE
362,65000,No,6,TRUE,Manufacturing,No,FALSE
363,80000,No,6,TRUE,Healthcare,No,TRUE
364,80000,Yes,7,FALSE,Education,No,TRUE
367,80000,No,7,FALSE,Tech,Yes,TRUE
368,75000,No,7,TRUE,Finance,Yes,FALSE
371,75000,No,5,FALSE,Education,No,TRUE
372,70000,No,5,FALSE,Healthcare,Yes,FALSE
373,80000,Yes,7,FALSE,Healthcare,No,TRUE
374,65000,No,4,FALSE,Healthcare,No,FALSE
375,85000,No,6,FALSE,Education,No,FALSE
376,90000,No,5,FALSE,Tech,No,FALSE
377,80000,No,5,TRUE,Education,Yes,TRUE
378,90000,Yes,7,FALSE,Healthcare,No,FALSE
379,70000,No,7,FALSE,Manufacturing,No,TRUE
380,90000,No,7,TRUE,Finance,Yes,TRUE
381,70000,No,5,FALSE,Education,Yes,TRUE
382,70000,No,7,FALSE,Education,No,TRUE
383,70000,No,5,FALSE,Tech,Yes,FALSE
384,100000,No,7,FALSE,Tech,No,TRUE
385,95000,Yes,7,FALSE,Education,No,TRUE
386,70000,No,5,TRUE,Healthcare,Yes,FALSE
389,100000,No,6,FALSE,Healthcare,Yes,TRUE
390,80000,Yes,7,TRUE,Manufacturing,Yes,FALSE
393,75000,No,5,FALSE,Healthcare,No,TRUE
394,85000,No,5,TRUE,Finance,Yes,TRUE
396,85000,No,5,FALSE,Manufacturing,Yes,TRUE
397,90000,No,5,FALSE,Healthcare,Yes,TRUE
398,90000,No,7,FALSE,Healthcare,No,TRUE
399,85000,Yes,5,FALSE,Finance,No,TRUE
400,105000,No,7,FALSE,Tech,Yes,TRUE
401,65000,Yes,5,TRUE,Tech,Yes,FALSE
402,70000,No,5,FALSE,Education,Yes,TRUE
404,95000,Yes,7,FALSE,Education,No,FALSE
405,80000,No,5,TRUE,Finance,Yes,FALSE
406,80000,No,5,TRUE,Manufacturing,Yes,TRUE
407,90000,No,7,FALSE,Healthcare,Yes,TRUE
408,80000,Yes,5,FALSE,Manufacturing,No,TRUE
409,65000,No,5,FALSE,Finance,No,FALSE
410,85000,No,7,FALSE,Healthcare,Yes,TRUE
412,70000,Yes,5,FALSE,Tech,Yes,FALSE
413,100000,No,7,FALSE,Education,Yes,FALSE
414,85000,Yes,6,FALSE,Finance,No,TRUE
416,70000,No,6,TRUE,Tech,No,TRUE
417,100000,No,7,FALSE,Manufacturing,Yes,TRUE
418,70000,No,7,FALSE,Healthcare,Yes,FALSE
419,55000,No,5,TRUE,Manufacturing,No,FALSE
420,80000,No,7,TRUE,Manufacturing,Yes,FALSE
421,90000,No,7,FALSE,Tech,Yes,FALSE
422,75000,No,7,TRUE,Tech,Yes,TRUE
423,65000,No,7,TRUE,Tech,No,TRUE
425,75000,No,5,FALSE,Manufacturing,Yes,FALSE
426,90000,No,7,FALSE,Finance,No,FALSE
427,85000,No,7,TRUE,Healthcare,Yes,FALSE
428,75000,No,5,TRUE,Education,Yes,TRUE
429,110000,Yes,6,FALSE,Finance,Yes,TRUE
430,80000,No,5,FALSE,Manufacturing,Yes,FALSE
431,90000,No,6,FALSE,Tech,Yes,TRUE
432,65000,Yes,7,FALSE,Manufacturing,Yes,FALSE
433,80000,Yes,6,FALSE,Healthcare,No,FALSE
434,65000,No,5,TRUE,Education,Yes,FALSE
435,85000,No,5,FALSE,Education,No,TRUE
436,80000,No,5,TRUE,Healthcare,Yes,TRUE
437,70000,Yes,4,FALSE,Finance,Yes,TRUE
438,85000,No,5,FALSE,Finance,Yes,TRUE
441,90000,Yes,7,TRUE,Tech,Yes,FALSE
442,90000,Yes,5,FALSE,Finance,Yes,TRUE
443,85000,Yes,7,TRUE,Healthcare,No,TRUE
444,80000,No,5,FALSE,Finance,No,TRUE
445,85000,Yes,5,TRUE,Tech,No,TRUE
448,80000,No,7,FALSE,Tech,Yes,TRUE
450,85000,No,7,TRUE,Education,Yes,FALSE
451,65000,Yes,7,TRUE,Manufacturing,Yes,FALSE
452,70000,No,6,FALSE,Education,Yes,TRUE
453,80000,Yes,7,FALSE,Manufacturing,Yes,FALSE
454,85000,Yes,7,FALSE,Tech,No,FALSE
455,90000,No,6,TRUE,Tech,Yes,FALSE
457,75000,No,7,TRUE,Finance,Yes,FALSE
458,60000,No,4,FALSE,Manufacturing,No,FALSE
461,95000,Yes,6,TRUE,Healthcare,No,FALSE
462,95000,Yes,7,FALSE,Education,No,TRUE
463,75000,Yes,7,FALSE,Finance,Yes,FALSE
464,75000,No,6,FALSE,Finance,No,FALSE
465,70000,No,5,FALSE,Finance,No,FALSE
467,90000,No,5,FALSE,Tech,Yes,FALSE
468,85000,No,6,FALSE,Tech,No,FALSE
469,90000,No,6,FALSE,Manufacturing,Yes,TRUE
470,90000,Yes,5,FALSE,Healthcare,Yes,FALSE
471,80000,Yes,7,TRUE,Education,Yes,FALSE
472,85000,Yes,5,FALSE,Education,Yes,FALSE
474,75000,No,5,TRUE,Education,No,TRUE
476,65000,No,5,FALSE,Manufacturing,Yes,TRUE
477,110000,No,6,FALSE,Healthcare,Yes,FALSE
478,100000,No,5,FALSE,Manufacturing,Yes,TRUE
479,80000,No,6,FALSE,Finance,No,FALSE
480,75000,Yes,5,FALSE,Finance,Yes,TRUE
481,75000,No,5,TRUE,Finance,Yes,FALSE
482,80000,No,7,TRUE,Manufacturing,Yes,TRUE
483,95000,Yes,7,FALSE,Education,Yes,TRUE
484,85000,Yes,7,TRUE,Healthcare,Yes,TRUE
485,90000,No,7,TRUE,Finance,No,TRUE
486,90000,No,7,FALSE,Finance,No,FALSE
488,65000,No,5,FALSE,Healthcare,No,TRUE
489,95000,No,7,FALSE,Finance,No,FALSE
490,105000,Yes,6,FALSE,Healthcare,No,TRUE
491,100000,No,5,TRUE,Finance,Yes,FALSE
492,65000,Yes,6,TRUE,Manufacturing,Yes,FALSE
493,90000,Yes,6,FALSE,Manufacturing,Yes,FALSE
494,60000,No,7,FALSE,Healthcare,No,TRUE
495,90000,No,7,FALSE,Manufacturing,No,FALSE
498,70000,No,4,FALSE,Manufacturing,No,TRUE
499,65000,Yes,6,FALSE,Healthcare,No,FALSE
500,70000,Yes,5,FALSE,Education,No,FALSE
